"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.1252748188196406
2 0.1703065625189321
3 0.1319047898420175
4 0.1075474725319896
5 0.09661039513916644
6 0.09543173541113123
7 0.0981097135116204
8 0.1018127540151658
9 0.1044220356378799
10 0.1056700928901342
11 0.1063629881534557
12 0.1067921439057516
13 0.1075294825055639
14 0.108413674261518
15 0.1095726199118147
16 0.1106457804510845
17 0.1116827157432776
18 0.1124915786678012
19 0.1132061857658768
20 0.1137385471304991
21 0.114211268942275
22 0.1145747689867634
23 0.1149273848835616
24 0.1152202415427189
25 0.1155282452303727
26 0.1157956640449443
27 0.1160606315487986
28 0.1162953148314746
29 0.116511110837214
30 0.1166933700281771
31 0.1168491406263711
32 0.1169815799488178
33 0.1170812218071956
34 0.1171711952793775
35 0.1172257241841761
36 0.1172812516789126
37 0.1173166241205959
38 0.1173623819437902
39 0.1173805799167776
40 0.1174147667655718
41 0.117443382506621
42 0.1174397487386177
43 0.1174082359476764
44 0.1174165802441091
45 0.1173997142230337
46 0.1174254562803243
47 0.117422604989379
48 0.117460031390695
49 0.1174607283214144
50 0.1174981584320127
