"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 -0.1298248334556122
2 -0.1849484903679342
3 -0.1435575674879763
4 -0.07716641650087483
5 0.004252301804383156
6 0.07727289884797083
7 0.1403000999467237
8 0.1868047164351559
9 0.2242374805794454
10 0.2513156085361761
11 0.2740640352905465
12 0.2903077998782488
13 0.3036348595279031
14 0.3123083756283957
15 0.3198248464496096
16 0.3248865278670149
17 0.330236362059851
18 0.3343512974344025
19 0.3390244440442817
20 0.3427089627786771
21 0.346702904108663
22 0.3496822314900473
23 0.3529760699653698
24 0.3556452246383998
25 0.3587461854667344
26 0.3614088746872195
27 0.3644044619468622
28 0.3669421659271718
29 0.3696552793839687
30 0.371827755889943
31 0.3740077367818287
32 0.3756225267785013
33 0.3771785493728191
34 0.3782300501045833
35 0.3792080913089615
36 0.3797853830565915
37 0.3804539627053631
38 0.3808677331108662
39 0.3813472942065859
40 0.3816747558186376
41 0.3817382232195317
42 0.3815205144963221
43 0.3814014362920614
44 0.381217468820258
45 0.381221668554511
46 0.381237467867209
47 0.3814271384869499
48 0.3815856525698267
49 0.3818444521266994
50 0.3820394475397145
