"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.3652890302396301
2 0.3241225197558169
3 0.2898256797623409
4 0.2647310819653
5 0.2494935161324172
6 0.2353190690662693
7 0.2211848690660566
8 0.2087352505375022
9 0.1982574131942984
10 0.1897720769883416
11 0.183486529142181
12 0.1787184276022836
13 0.1757380540731503
14 0.1739299465408013
15 0.1732519175289443
16 0.1731045499206065
17 0.173412771113389
18 0.1738112619131174
19 0.1743400693590872
20 0.1747364876110573
21 0.1751511178295849
22 0.1752413918091599
23 0.1759100093816914
24 0.1759156223918151
25 0.1760574243460167
26 0.1761205471556424
27 0.1762230745819297
28 0.176225525718578
29 0.1762682602610484
30 0.1762246460133914
31 0.1762319476226194
32 0.1761530791422756
33 0.1761406981589369
34 0.1760449632824283
35 0.1760305920458252
36 0.1759538600453132
37 0.1759564759738362
38 0.1758867266394514
39 0.1759016650595447
40 0.1758446060046649
41 0.1758733754734371
42 0.1758141647796047
43 0.1758363625507701
44 0.1757921870874528
45 0.1758137300023733
46 0.1757741728832257
47 0.1757969871838534
48 0.1757650450296716
49 0.1757751663929233
50 0.1757569341751082
