"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.717458037352396
2 0.763866847587144
3 1.10549584326821
4 1.461076897832824
5 1.750103791085989
6 1.953886199074974
7 2.062506261865511
8 2.098046305962858
9 2.080518054810516
10 2.034752034196722
11 1.979356813946995
12 1.923823960447276
13 1.875013792833582
14 1.835104908386066
15 1.804225685441698
16 1.781312840168351
17 1.76438640974372
18 1.752299292954355
19 1.743163057027927
20 1.736433700014135
21 1.730746075225624
22 1.725339825339853
23 1.720309014666971
24 1.717072494318177
25 1.71474911884902
26 1.713208974955116
27 1.711465272319541
28 1.709931167169775
29 1.708151080563018
30 1.706558657745457
31 1.704771720506573
32 1.703068027012206
33 1.701174465683812
34 1.699481416072186
35 1.697850143831352
36 1.696469452284435
37 1.695239426915158
38 1.694153625191168
39 1.693262432369443
40 1.692465643778746
41 1.691846283466618
42 1.691220311525752
43 1.690705644336025
44 1.690308271141561
45 1.689907301453953
46 1.689606318373015
47 1.689305657074036
48 1.689100750194751
49 1.688876285267291
50 1.688743895194812
