"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.1405786417742942
2 0.2027917452201228
3 0.1678656565689344
4 0.1434848890163596
5 0.1314746963260715
6 0.1300600345754506
7 0.1329903146358619
8 0.1366777367839243
9 0.1386464070809355
10 0.1392375465398208
11 0.1394838542988945
12 0.1399672652572438
13 0.1412940546528548
14 0.14312333823566
15 0.1452105274269402
16 0.1470730180080004
17 0.1485138767812217
18 0.1495330201535211
19 0.150145372560534
20 0.1505586282320417
21 0.1507005097267734
22 0.1508648817522722
23 0.1508584690945582
24 0.1509872407106805
25 0.1509706920070072
26 0.1511361093770758
27 0.1511220135133015
28 0.1512987862583905
29 0.1512998201925996
30 0.151496376573724
31 0.1515027381188461
32 0.1516975357680408
33 0.1517022084384001
34 0.1518873802017306
35 0.1518683427030163
36 0.1520429178978824
37 0.152005292035749
38 0.152151166790473
39 0.1520979282212043
40 0.1522194718795769
41 0.1521533513043381
42 0.1522635654578718
43 0.1521752451393129
44 0.152266541735159
45 0.1521751925840172
46 0.1522544020880101
47 0.1521460972911043
48 0.1522232928863442
49 0.1521093877117564
50 0.1521798376436644
