"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.04449344571534086
2 0.4614787230841346
3 0.9482482057001438
4 1.300390586894112
5 1.649740135621087
6 1.933508841754636
7 2.157890642200151
8 2.328928848571388
9 2.452227619130044
10 2.533480353050416
11 2.581680657126788
12 2.610088355796857
13 2.625103578693232
14 2.635032606241797
15 2.640568705450444
16 2.644956274830927
17 2.645579004060437
18 2.644292240407995
19 2.639176576185937
20 2.632835964265404
21 2.623810112009527
22 2.615199784268349
23 2.605476004756659
24 2.596995702063953
25 2.588462419257953
26 2.581428284672479
27 2.572322513652936
28 2.577110330750442
29 2.56940133886887
30 2.563779770454234
31 2.558184556584436
32 2.554359871366616
33 2.550745223016344
34 2.54871309932182
35 2.546313634407074
36 2.545076299148517
37 2.543279575479314
38 2.542473619488784
39 2.540990167211501
40 2.54036920880997
41 2.53905286898118
42 2.538523728920977
43 2.537363279489179
44 2.536978949713728
45 2.535969792137983
46 2.535682453370714
47 2.534776614868652
48 2.534596261975026
49 2.533857287402312
50 2.53386711030267
