"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.1271381387086261
2 0.1991392852374652
3 0.1747171108564883
4 0.1543965945502818
5 0.1415653561769926
6 0.1369986608484014
7 0.1354741165209152
8 0.1355977471406141
9 0.1340997307948819
10 0.1328028907971421
11 0.1310926298472903
12 0.1301806756969692
13 0.129474370845346
14 0.1293413530917961
15 0.1291137070993925
16 0.1289832957536996
17 0.1286016462027199
18 0.1281951559710764
19 0.1276333443866097
20 0.1270751641718664
21 0.1265184825063554
22 0.1260463331850337
23 0.1256545197062232
24 0.1253308367958373
25 0.1251112409952732
26 0.1249275194950042
27 0.1248396341468741
28 0.1247451788695486
29 0.1247344559866465
30 0.1247028684259211
31 0.1247511079851083
32 0.124751482078313
33 0.1248231633898775
34 0.124824489194706
35 0.1248929926761409
36 0.1248864454211403
37 0.1249580753800943
38 0.1249500756629644
39 0.1250222048842254
40 0.1250065845811761
41 0.1250760068162822
42 0.1250546222719761
43 0.1251270941960298
44 0.125101690146343
45 0.1251690329611441
46 0.1251358898576745
47 0.1252019823124727
48 0.1251701575606739
49 0.1252354371001723
50 0.1252028011604292
