"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.1584559413694808
2 0.3845852042579314
3 0.6360544749281962
4 0.8562801455512211
5 1.058471724066635
6 1.230912426746835
7 1.369290567175796
8 1.471250058703135
9 1.536930186199958
10 1.576326175304461
11 1.598514584892954
12 1.613020958664341
13 1.622765888033103
14 1.629769868068914
15 1.632179223711357
16 1.629943779966629
17 1.621939551191713
18 1.609473910328669
19 1.59298966000913
20 1.574379381429827
21 1.554412696234766
22 1.534707285185274
23 1.515727241589782
24 1.498335555524557
25 1.48254796430689
26 1.468806854725118
27 1.456874204188265
28 1.446806076440897
29 1.438282195604062
30 1.431347045042322
31 1.425691386139639
32 1.421286571176443
33 1.417822978832439
34 1.415223091722664
35 1.41323455407151
36 1.411795860774578
37 1.410768668775531
38 1.410150340591066
39 1.409854521519045
40 1.409870748274192
41 1.410138111148013
42 1.410599144684684
43 1.411204956793656
44 1.41189023084801
45 1.412626363105181
46 1.41336432871289
47 1.414106075012792
48 1.414836453109316
49 1.41554928267073
50 1.416210856986683
