"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.4884538005438137
2 -0.1223114876334678
3 0.001286515456182928
4 0.1744391850734814
5 0.3735763040642076
6 0.546726051523301
7 0.6527700956630886
8 0.6585796663207589
9 0.6136664507542626
10 0.5376869836890644
11 0.4673018527915338
12 0.4127091085547046
13 0.3776281611790159
14 0.3567110442497025
15 0.3465581291139673
16 0.3459304274851731
17 0.3512372814710213
18 0.3595580903836874
19 0.3694490490068549
20 0.3792532721822027
21 0.3887645056743209
22 0.3968202409463189
23 0.4033818315008404
24 0.4085558569388387
25 0.4126140828486402
26 0.4154256951102211
27 0.4175997660900699
28 0.4189932509121009
29 0.42001395210019
30 0.4203578145351272
31 0.4204974050387311
32 0.4202026833249832
33 0.4198885620617263
34 0.4192973614045403
35 0.4186906808619848
36 0.417966240091119
37 0.417308262952736
38 0.4164426107984451
39 0.4156880934612579
40 0.4149042536806146
41 0.4143330043295662
42 0.4136357929344131
43 0.4131729728200902
44 0.4125969269154685
45 0.4121776102000524
46 0.4116567761857639
47 0.4112791285954168
48 0.4108377975461636
49 0.4105552771890857
50 0.4101758330816732
