"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.6599057999356506
2 0.3871816144038435
3 0.3342437002744952
4 0.2831848069821388
5 0.2445178004489493
6 0.2272786217444922
7 0.1993401380264577
8 0.1757008328791401
9 0.1600332214758834
10 0.143819358202258
11 0.1339440742841428
12 0.1260952757530981
13 0.1221492633347517
14 0.1195663932111371
15 0.1191740994416347
16 0.1194777281557814
17 0.1207095975011575
18 0.1218809518242096
19 0.1234714779663978
20 0.1246495171862755
21 0.1259903219620503
22 0.1268401064056209
23 0.1277492654160275
24 0.1282678180492921
25 0.1288381883285664
26 0.1290945420650751
27 0.1294412411428111
28 0.1295618873413543
29 0.1297708797635071
30 0.1297828928963595
31 0.1298939759877694
32 0.1298463445738729
33 0.1299106722530212
34 0.1298439631682109
35 0.1298700816216853
36 0.1297805239709289
37 0.1297990240858768
38 0.1296881903194147
39 0.1296902048769386
40 0.129587254557736
41 0.1296053249098526
42 0.1295165170124697
43 0.1295322454127919
44 0.1294477906533487
45 0.129467252328982
46 0.1293784927324939
47 0.1294054003145427
48 0.1293293971649208
49 0.1293537941518706
50 0.1292789250202069
